tag,Area,Roundness,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7
D,29947,0.36242222193265555,0.0017196391228722478,3.7252633421277716e-09,2.4828408601323384e-10,1.3513359992379253e-14,7.692076573941981e-27,-7.875040317604883e-19,2.3526991338313726e-26
S,26327,0.10406592554163596,0.0015382224384132438,7.659084428734856e-08,5.798164347335009e-11,3.364120312732617e-12,-1.939376489847257e-23,-9.218018551874706e-16,4.279490716623351e-23
D,23180,0.1731583119819509,0.0021192503460169135,7.52855238949579e-09,8.211739638742904e-10,5.302626537129048e-12,3.3887909974903796e-22,4.566793119116615e-16,8.715916072208781e-23
S,37153,0.23854390399110073,0.0010622867229887433,1.1132053564823268e-08,6.399185999175949e-12,5.258672243855479e-13,9.435357828819962e-25,-5.203532369927782e-17,-2.0079539301222528e-25
S,46383,0.37303421965172573,0.0007681388729847702,2.107887324082958e-09,1.0599023240850792e-12,3.921413403281744e-14,7.377004817756075e-27,-3.457328462402575e-19,3.0811469081419337e-27
D,30293,0.40292073640195264,0.001762321639150623,3.1563998665444576e-09,1.8098916335398124e-10,2.0394533111938885e-13,-2.136409059388425e-25,-1.1271899307436339e-17,1.2205161913834713e-24
D,43862,0.4324246182941095,0.000903052944152278,5.1553674307042985e-09,4.1391125841431605e-11,1.0408713904533862e-12,-4.2625357100655435e-24,-4.951013119590821e-17,-5.339223509676654e-24
A,23228,0.15827857860273536,0.001232105052668153,1.6987531418013025e-08,1.585841867041702e-09,1.1664690536003832e-10,-4.9544212973448397e-20,-1.143273507655087e-14,-7.896181355918872e-21
A,22155,0.09701855599843585,0.0016487086485711244,6.358435798308431e-08,1.475061733667962e-10,7.720094281080199e-11,1.1701553166212848e-21,-1.974210995802771e-15,8.154799906894177e-21
F,47508,2.8837248407051104,0.0007655213362247565,4.348963780561337e-08,5.855313607841819e-11,3.94676259197215e-12,5.1471596541945747e-23,-1.4915973781708253e-17,-3.082907116474502e-23
F,26340,0.1325902106962909,0.0012115655496158376,2.4932416164415137e-07,1.1288866642274828e-10,3.3388826082120715e-11,1.2039536760382638e-21,-2.3329088353794055e-15,-1.6590580829920207e-21
A,29420,0.29263071601363877,0.001044117108427755,7.858274486371088e-10,7.10650003749115e-10,1.9844360705617025e-11,-2.318324188865909e-21,2.954472097315319e-16,-4.2293864514118183e-22
G,41180,0.4052652062802966,0.0008154055676989731,1.6596313561474317e-08,2.659718300167624e-11,2.8105449025219592e-12,-2.1083804131313122e-23,-3.5988433348303907e-16,-1.2081223793882754e-23
G,28626,0.19826010850180179,0.0016226982812485445,1.4215257864747312e-08,1.589061169930728e-10,1.9054545574295784e-11,4.244173481183014e-22,-2.243914421124428e-15,-9.58760128329243e-22
G,27487,0.16182170570207113,0.0016231211600481392,1.0269980410385756e-08,1.6959395290478216e-10,1.6242540628867178e-11,6.953704340475361e-22,-1.2413450057223421e-16,-4.931415143349897e-22
G,38399,0.3436315869755758,0.0009312088518609748,4.076545992231257e-09,7.144585013677702e-12,6.211750887171835e-12,2.539677783233683e-23,3.819595951005283e-17,-3.267198202369791e-23
F,41645,1.5084889765537044,0.0008849431135582233,9.082916271432829e-08,1.6702809085452112e-10,1.1025480698109225e-11,9.39799254678638e-24,-1.8953187138689518e-15,-4.730481723457404e-22
